"ISO_3_CODE","COUNTRYNAME","WHO_REGION","UNICEF_REGION","COVAX_STATUS","DEVELOPMENT_STATUS","WBINCOME_SHORT_STATUS","WBINCOME_LONG_STATUS","WHOMEMBER","WHO_LEGAL_STATUS_TITLE","DATE","YEAR","MONTH","MONTH_DESCRIPTION","DATA_SOURCE","DATA_SOURCE_DESCRIPTION","GENDER","GENDER_DESCRIPTION","NUMBER_TARGET","UNPOP","N_VACC_DOSE1","N_VACC_LAST_DOSE","N_VACC_UNKNOWN","N_VACC_BOOSTER_DOSE","PARTIALLY_VACCINATED","NOT_VACCINATED","NOT_VACCINATED_BY_UNPOP","PERSONS_VACCINATED_1PLUS_DOSE_PER100","TOTAL_VACCINATIONS_PER100","COMMENTS"
"AUS","Australia","WPR","Dev","Self-financing","Developed economy","High income","High income","Member","Member State","2022-06",2022,6,"06-June","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","FEMALE","Female",10491370,13179066,10191708,10045312,NA,NA,146396,299662,2987358,77.332551487336,76.2217292181403,NA
"AUS","Australia","WPR","Dev","Self-financing","Developed economy","High income","High income","Member","Member State","2022-06",2022,6,"06-June","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","UNKNOWN","Unknown",NA,NA,46286,30141,NA,NA,16145,NA,NA,NA,NA,"Population left blank as gender population derived from the Australian Bureau of Statistics June 2020 Estimated Residential Population which doesn’t include an unknown gender population figure."
"AUT","Austria","EUR","Dev","No","Developed economy","High income","High income","Member","Member State","2021-11",2021,11,"11-November","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","MALE","Male",4396952,4391110,3136003,2825467,NA,1007169,310536,1260949,1255107,71.4170904395472,64.3451655731694,NA
"AUT","Austria","EUR","Dev","No","Developed economy","High income","High income","Member","Member State","2021-11",2021,11,"11-November","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","FEMALE","Female",4535712,4530971,3236475,2964620,NA,1183037,271855,1299237,1294496,71.4300532932124,65.4301252424701,NA
"AUT","Austria","EUR","Dev","No","Developed economy","High income","High income","Member","Member State","2021-11",2021,11,"11-November","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","UNKNOWN","Unknown",0,NA,2651,1677,NA,136,974,NA,NA,NA,NA,NA
"AZE","Azerbaijan","EUR","CEE-CIS","Self-financing","Economy in transition","Middle income","Upper middle income","Member","Member State","2021-05",2021,5,"05-May","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","FEMALE","Female",5065288,5223764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZE","Azerbaijan","EUR","CEE-CIS","Self-financing","Economy in transition","Middle income","Upper middle income","Member","Member State","2021-05",2021,5,"05-May","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","MALE","Male",5053845,5089228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BDI","Burundi","AFR","ESARO","AMC","Least developed","Low income","Low income","Member","Member State","2022-02",2022,2,"02-February","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","MALE","Male",NA,6400926,5555,5205,NA,NA,350,NA,6395371,0.086784318393932,0.081316359539229,NA
"BDI","Burundi","AFR","ESARO","AMC","Least developed","Low income","Low income","Member","Member State","2022-02",2022,2,"02-February","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","FEMALE","Female",NA,6488650,3923,3713,NA,NA,210,NA,6484727,0.060459417598422,0.057222997079516,NA
"BFA","Burkina Faso","AFR","WCARO","AMC","Least developed","Low income","Low income","Member","Member State","2022-02",2022,2,"02-February","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","MALE","Male",NA,11299155,965351,554986,NA,NA,410365,NA,10333804,8.54356808097597,4.91174782539048,NA
"BFA","Burkina Faso","AFR","WCARO","AMC","Least developed","Low income","Low income","Member","Member State","2022-02",2022,2,"02-February","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","FEMALE","Female",NA,11374607,1148089,558540,NA,NA,589549,NA,10226518,10.0934388326559,4.91041141025795,NA
"BGD","Bangladesh","SEAR","ROSA","AMC","Least developed","Middle income","Lower middle income","Member","Member State","2022-07",2022,7,"07-July","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","MALE","Male",NA,84859213,64797852,59905207,NA,20071121,4892645,NA,20061361,76.3592422192273,70.5936396087011,NA
"BGD","Bangladesh","SEAR","ROSA","AMC","Least developed","Middle income","Lower middle income","Member","Member State","2022-07",2022,7,"07-July","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","FEMALE","Female",NA,86327159,64907633,60620936,NA,19754873,4286697,NA,21419526,75.1879637322479,70.2223225022383,NA
"BGD","Bangladesh","SEAR","ROSA","AMC","Least developed","Middle income","Lower middle income","Member","Member State","2022-07",2022,7,"07-July","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","UNKNOWN","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BHS","Bahamas","AMR","LACRO","Self-financing","Developing","High income","High income","Member","Member State","2022-06",2022,6,"06-June","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","MALE","Male",154800,195817,NA,72603,0,14006,NA,NA,NA,NA,37.0769647170573,NA
"BHS","Bahamas","AMR","LACRO","Self-financing","Developing","High income","High income","Member","Member State","2022-06",2022,6,"06-June","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","FEMALE","Female",168380,214167,NA,88350,0,31626,NA,NA,NA,NA,41.252854081161,NA
"BHS","Bahamas","AMR","LACRO","Self-financing","Developing","High income","High income","Member","Member State","2022-06",2022,6,"06-June","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","UNKNOWN","Unknown",0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"BMU","Bermuda","AMR",NA,NA,"Developing","High income","High income","Reporting entity","Territory or Area","2022-02",2022,2,"02-February","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","MALE","Male",29396,30929,22827,22084,NA,NA,743,6569,8102,73.8045200297455,71.402243848815,NA
"BMU","Bermuda","AMR",NA,NA,"Developing","High income","High income","Reporting entity","Territory or Area","2022-02",2022,2,"02-February","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","FEMALE","Female",31918,33255,24752,24039,NA,NA,713,7166,8503,74.4309126447151,72.2868741542625,NA
"BMU","Bermuda","AMR",NA,NA,"Developing","High income","High income","Reporting entity","Territory or Area","2022-02",2022,2,"02-February","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","UNKNOWN","Unknown",NA,NA,234,226,NA,NA,8,NA,NA,NA,NA,NA
"BOL","Bolivia (Plurinational State of)","AMR","LACRO","AMC","Developing","Middle income","Lower middle income","Member","Member State","2022-06",2022,6,"06-June","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","MALE","Male",5417716,6126364,3550827,2906886,NA,816894,643941,1866889,2575537,57.9597784264859,47.4487967087819,NA
"BOL","Bolivia (Plurinational State of)","AMR","LACRO","AMC","Developing","Middle income","Lower middle income","Member","Member State","2022-06",2022,6,"06-June","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","FEMALE","Female",5404132,6097747,3710556,3135377,NA,933570,575179,1693576,2387191,60.8512619497004,51.4186141209204,NA
"BOL","Bolivia (Plurinational State of)","AMR","LACRO","AMC","Developing","Middle income","Lower middle income","Member","Member State","2022-06",2022,6,"06-June","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","UNKNOWN","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRA","Brazil","AMR","LACRO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-04",2022,4,"04-April","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","MALE","Male",NA,105733027,84550452,74143594,NA,36207459,10406858,NA,21182575,79.965980733721,70.1234005151484,NA
"BRA","Brazil","AMR","LACRO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-04",2022,4,"04-April","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","FEMALE","Female",NA,109580471,92176875,83815520,NA,46615509,8361355,NA,17403596,84.1179766420241,76.4876434962576,NA
"BRA","Brazil","AMR","LACRO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-04",2022,4,"04-April","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","UNKNOWN","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRB","Barbados","AMR","LACRO","Self-financing","Developing","High income","High income","Member","Member State","2022-07",2022,7,"07-July","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","MALE","Male",95565,135084,73603,67531,NA,24736,6072,21962,61481,54.4868378194309,49.991856918658,"Number with 2nd booster dose not disaggregated"
"BRB","Barbados","AMR","LACRO","Self-financing","Developing","High income","High income","Member","Member State","2022-07",2022,7,"07-July","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","FEMALE","Female",108629,146550,91309,86485,NA,34652,4824,17320,55241,62.3056977140908,59.0139883998635,"Number with 2nd booster dose not disaggregated"
"BRB","Barbados","AMR","LACRO","Self-financing","Developing","High income","High income","Member","Member State","2022-07",2022,7,"07-July","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","UNKNOWN","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-4444"
"BRN","Brunei Darussalam","WPR","EAPRO","Self-financing","Developing","High income","High income","Member","Member State","2022-06",2022,6,"06-June","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","MALE","Male",NA,232205,246431,245729,NA,178165,702,NA,-14226,106.126483064533,105.824163993023,NA
"BRN","Brunei Darussalam","WPR","EAPRO","Self-financing","Developing","High income","High income","Member","Member State","2022-06",2022,6,"06-June","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","FEMALE","Female",NA,216797,201575,200883,NA,143485,692,NA,15222,92.9786851294068,92.659492520653,NA
"BRN","Brunei Darussalam","WPR","EAPRO","Self-financing","Developing","High income","High income","Member","Member State","2022-06",2022,6,"06-June","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","UNKNOWN","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BTN","Bhutan","SEAR","ROSA","AMC","Least developed","Middle income","Lower middle income","Member","Member State","2021-09",2021,9,"09-September","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","MALE","Male",NA,411668,255639,1444,NA,NA,254195,NA,156029,62.0983413818903,0.350768094678236,NA
"BTN","Bhutan","SEAR","ROSA","AMC","Least developed","Middle income","Lower middle income","Member","Member State","2021-09",2021,9,"09-September","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","FEMALE","Female",NA,365818,230635,1211,NA,NA,229424,NA,135183,63.0463782536671,0.331038931927899,NA
"BTN","Bhutan","SEAR","ROSA","AMC","Least developed","Middle income","Lower middle income","Member","Member State","2021-09",2021,9,"09-September","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","UNKNOWN","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BWA","Botswana","AFR","ESARO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-02",2022,2,"02-February","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","MALE","Male",NA,1298807,557266,433826,NA,NA,123440,NA,741541,42.9059898814835,33.4018834207084,NA
"BWA","Botswana","AFR","ESARO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-02",2022,2,"02-February","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","FEMALE","Female",NA,1331489,455462,345866,NA,NA,109596,NA,876027,34.2069667868079,25.9758811375836,NA
"CAF","Central African Republic","AFR","WCARO","AMC","Least developed","Low income","Low income","Member","Member State","2022-02",2022,2,"02-February","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","MALE","Male",NA,2788352,215641,NA,NA,NA,215641,NA,2572711,7.73363621235769,NA,NA
"CAF","Central African Republic","AFR","WCARO","AMC","Least developed","Low income","Low income","Member","Member State","2022-02",2022,2,"02-February","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","FEMALE","Female",NA,2790791,166909,NA,NA,NA,166909,NA,2623882,5.98070582856258,NA,NA
"CAN","Canada","AMR","Dev","Self-financing","Developed economy","High income","High income","Member","Member State","2022-04",2022,4,"04-April","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","MALE","Male",19006265,19110317,15904575,15240543,NA,8506330,664032,3101690,3205742,83.2250715673633,79.7503411377216,"Ongoing data quality assurance activities can result in unexpected decreases of cumulative numbers from a report to another, as historical data correction and update is not available."
"CAN","Canada","AMR","Dev","Self-financing","Developed economy","High income","High income","Member","Member State","2022-04",2022,4,"04-April","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","FEMALE","Female",19237944,19344011,16505165,15925526,NA,9818933,579639,2732779,2838846,85.3244190152704,82.3279411906869,"Ongoing data quality assurance activities can result in unexpected decreases of cumulative numbers from a report to another, as historical data correction and update is not available."
"CAN","Canada","AMR","Dev","Self-financing","Developed economy","High income","High income","Member","Member State","2022-04",2022,4,"04-April","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","UNKNOWN","Unknown",NA,NA,34284,30903,NA,16780,3381,NA,NA,NA,NA,"This category includes the ""Other"" and ""Not reported"" categories. "
"CHL","Chile","AMR","LACRO","Self-financing","Developing","High income","High income","Member","Member State","2022-06",2022,6,"06-June","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","MALE","Male",9420719,9729531,8800159,8563512,NA,7266800,236647,620560,929372,90.4479260099999,88.0156710534146,NA
"CHL","Chile","AMR","LACRO","Self-financing","Developing","High income","High income","Member","Member State","2022-06",2022,6,"06-June","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","FEMALE","Female",9696840,9874202,9196739,9016161,NA,7922603,180578,500101,677463,93.1390607565047,91.3102749974124,NA
"CHL","Chile","AMR","LACRO","Self-financing","Developing","High income","High income","Member","Member State","2022-06",2022,6,"06-June","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","UNKNOWN","Unknown",NA,NA,14217,12620,NA,6070,1597,NA,NA,NA,NA,"No es acumulativo. Se están corrigiendo en forma periódica. El DEIS revisa constantemente los registros con este problema y son cruzados con los datos del Registro Civil e Identif."
"CMR","Cameroon","AFR","WCARO","AMC","Developing","Middle income","Lower middle income","Member","Member State","2022-02",2022,2,"02-February","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","MALE","Male",NA,13922522,627539,475922,NA,NA,151617,NA,13294983,4.50736583501179,3.41836055277916,NA
"CMR","Cameroon","AFR","WCARO","AMC","Developing","Middle income","Lower middle income","Member","Member State","2022-02",2022,2,"02-February","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","FEMALE","Female",NA,13992014,445719,337141,NA,NA,108578,NA,13546295,3.18552425690826,2.40952446159645,NA
"COD","Democratic Republic of the Congo","AFR","WCARO","AMC","Least developed","Low income","Low income","Member","Member State","2022-02",2022,2,"02-February","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","MALE","Male",NA,49118035,65443,10559,NA,NA,54884,NA,49052592,0.133236193182402,0.021497195480235,NA
"COD","Democratic Republic of the Congo","AFR","WCARO","AMC","Least developed","Low income","Low income","Member","Member State","2022-02",2022,2,"02-February","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","FEMALE","Female",NA,49892177,33467,10088,NA,NA,23379,NA,49858710,0.067078652430821,0.020219602764578,NA
"COL","Colombia","AMR","LACRO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-06",2022,6,"06-June","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","MALE","Male",23719473,25575607,16834366,13493731,NA,3563344,3340635,6885107,8741241,65.8219607456433,52.7601593189949,"Fuente: Bodega de datos SISPRO cubo PAIWEB, MSPS. Consultado: 28/jul/2022 con corte a 30 de junio 2022, rezago de total 36%"
"COL","Colombia","AMR","LACRO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-06",2022,6,"06-June","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","FEMALE","Female",24996093,26298417,17545901,14610750,NA,4450623,2935151,7450192,8752516,66.7184682636982,55.5575265233645,"Fuente: Bodega de datos SISPRO cubo PAIWEB, MSPS. Consultado: 28/jul/2022 con corte a 30 de junio 2022, rezago de total 36%"
"COL","Colombia","AMR","LACRO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-06",2022,6,"06-June","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","UNKNOWN","Unknown",NA,NA,125257,94590,NA,6085,30667,NA,NA,NA,NA,"Fuente: Bodega de datos SISPRO cubo PAIWEB, MSPS. Consultado: 2/jul/2022 con corte a 30 de junio 2022, rezago de total 36%"
"COM","Comoros","AFR","ESARO","AMC","Least developed","Middle income","Lower middle income","Member","Member State","2022-02",2022,2,"02-February","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","MALE","Male",NA,420357,176278,154731,NA,NA,21547,NA,244079,41.9353073696881,36.8094262733819,NA
"COM","Comoros","AFR","ESARO","AMC","Least developed","Middle income","Lower middle income","Member","Member State","2022-02",2022,2,"02-February","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","FEMALE","Female",NA,416416,158716,145313,NA,NA,13403,NA,257700,38.1147698455391,34.8961135018827,NA
"CPV","Cabo Verde","AFR","WCARO","AMC","Developing","Middle income","Lower middle income","Member","Member State","2022-02",2022,2,"02-February","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","MALE","Male",NA,294911,174160,144865,NA,NA,29295,NA,120751,59.0551047604192,49.1215993977844,NA
"CPV","Cabo Verde","AFR","WCARO","AMC","Developing","Middle income","Lower middle income","Member","Member State","2022-02",2022,2,"02-February","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","FEMALE","Female",NA,298239,178559,154322,NA,NA,24237,NA,119680,59.871110082853,51.7444063318345,NA
"CRI","Costa Rica","AMR","LACRO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-06",2022,6,"06-June","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","FEMALE","Female",2128617,2590119,2053407,1973405,NA,1270014,80002,75210,536712,79.2784810273196,76.1897426334466,NA
"CRI","Costa Rica","AMR","LACRO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-06",2022,6,"06-June","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","UNKNOWN","Unknown",NA,NA,374320,311899,NA,70906,62421,NA,NA,NA,NA,"A partir del 30 de mayo no es posible segregar dosis aplicadas debido a ataque informático el cual no se ha resuelto aún"
"CRI","Costa Rica","AMR","LACRO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-06",2022,6,"06-June","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","MALE","Male",2145716,2590709,2026893,1890640,NA,1061882,136253,118823,563816,78.2369999872622,72.9777061028468,NA
"DMA","Dominica","AMR","LACRO","AMC","Developing","Middle income","Upper middle income","Member","Member State","2022-06",2022,6,"06-June","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","MALE","Male",36822,36161,16840,NA,NA,NA,16840,19982,19321,46.5695085865988,NA,NA
"DMA","Dominica","AMR","LACRO","AMC","Developing","Middle income","Upper middle income","Member","Member State","2022-06",2022,6,"06-June","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","FEMALE","Female",35497,36577,15777,NA,NA,NA,15777,19720,20800,43.1336632309922,NA,NA
"DMA","Dominica","AMR","LACRO","AMC","Developing","Middle income","Upper middle income","Member","Member State","2022-06",2022,6,"06-June","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","UNKNOWN","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECU","Ecuador","AMR","LACRO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-06",2022,6,"06-June","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","MALE","Male",7951886,8984602,7181953,6892186,NA,3065931,289767,769933,1802649,79.9362398022751,76.7110885935738,NA
"ECU","Ecuador","AMR","LACRO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-06",2022,6,"06-June","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","FEMALE","Female",8144639,9016398,7444240,7126197,NA,3065931,318043,700399,1572158,82.5633473588899,79.0359631418223,NA
"ECU","Ecuador","AMR","LACRO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-06",2022,6,"06-June","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","UNKNOWN","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EST","Estonia","EUR","Dev","No","Developed economy","High income","High income","Member","Member State","2022-06",2022,6,"06-June","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","MALE","Male",630915,629571,394845,392658,0,205357,2187,236070,234726,62.7165164850351,62.3691370790586,NA
"EST","Estonia","EUR","Dev","No","Developed economy","High income","High income","Member","Member State","2022-06",2022,6,"06-June","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","FEMALE","Female",699153,696491,447385,445329,0,256937,2056,251768,249106,64.2341394217585,63.9389453704355,NA
"EST","Estonia","EUR","Dev","No","Developed economy","High income","High income","Member","Member State","2022-06",2022,6,"06-June","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","UNKNOWN","Unknown",NA,NA,11,13,0,0,-2,NA,NA,NA,NA,NA
"ETH","Ethiopia","AFR","ESARO","AMC","Least developed","Low income","Low income","Member","Member State","2022-02",2022,2,"02-February","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","MALE","Male",52322392,61980175,11848816,11145804,NA,185201,703012,40473576,50131359,19.1171063973279,17.9828533882003,"Target population is total."
"ETH","Ethiopia","AFR","ESARO","AMC","Least developed","Low income","Low income","Member","Member State","2022-02",2022,2,"02-February","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","FEMALE","Female",52797570,61399749,10613742,9864275,NA,161072,749467,42183828,50786007,17.2862954211751,16.0656601381221,"The target population is total."
"ETH","Ethiopia","AFR","ESARO","AMC","Least developed","Low income","Low income","Member","Member State","2022-02",2022,2,"02-February","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","UNKNOWN","Unknown",NA,NA,2052782,26274,NA,NA,2026508,NA,NA,NA,NA,"At the very beginning  of the introduction of COVID-19 vaccination the vaccine uptake data collected without disaggregating by gender."
"GAB","Gabon","AFR","WCARO","No","Developing","Middle income","Upper middle income","Member","Member State","2022-02",2022,2,"02-February","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","MALE","Male",NA,1215505,197034,154746,NA,NA,42288,NA,1018471,16.2100526118774,12.7310048087009,NA
"GAB","Gabon","AFR","WCARO","No","Developing","Middle income","Upper middle income","Member","Member State","2022-02",2022,2,"02-February","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","FEMALE","Female",NA,1173488,75339,59170,NA,NA,16169,NA,1098149,6.4200912152489,5.04223306927723,NA
"GHA","Ghana","AFR","WCARO","AMC","Developing","Middle income","Lower middle income","Member","Member State","2022-02",2022,2,"02-February","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","MALE","Male",NA,16695114,4188320,2299191,NA,NA,1889129,NA,12506794,25.0871003336665,13.7716400139586,NA
"GHA","Ghana","AFR","WCARO","AMC","Developing","Middle income","Lower middle income","Member","Member State","2022-02",2022,2,"02-February","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","FEMALE","Female",NA,16780756,4537347,2490790,NA,NA,2046557,NA,12243409,27.038990376834,14.8431334082922,NA
