"ISO_3_CODE","COUNTRYNAME","WHO_REGION","UNICEF_REGION","COVAX_STATUS","DEVELOPMENT_STATUS","WBINCOME_SHORT_STATUS","WBINCOME_LONG_STATUS","WHOMEMBER","WHO_LEGAL_STATUS_TITLE","DATE","YEAR","MONTH","MONTH_DESCRIPTION","DATA_SOURCE","DATA_SOURCE_DESCRIPTION","TARGET_GROUP","TARGET_GROUP_DESCRIPTION","NUMBER_TARGET","N_VACC_DOSE1","N_VACC_LAST_DOSE","N_VACC_BOOSTER_DOSE","N_VACC_UNKNOWN","PARTIALLY_VACCINATED","NOT_VACCINATED","COMMENTS"
"AIA","Anguilla","AMR","LACRO",NA,"Developing",NA,NA,"Reporting entity","Territory or Area","2022-09",2022,9,"09-September","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","HW","Health  and care workers",350,359,352,117,NA,7,-9,NA
"AIA","Anguilla","AMR","LACRO",NA,"Developing",NA,NA,"Reporting entity","Territory or Area","2022-09",2022,9,"09-September","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","PW","Pregnant Women",NA,12,0,NA,NA,12,NA,NA
"ALB","Albania","EUR","CEE-CIS","Self-financing","Economy in transition","Middle income","Upper middle income","Member","Member State","2022-11",2022,11,"11-November","TESSY","COVID-19 vaccination uptake data coming from TESSy","HW","Health  and care workers",28000,25884,23235,5408,0,2649,2116,NA
"ALB","Albania","EUR","CEE-CIS","Self-financing","Economy in transition","Middle income","Upper middle income","Member","Member State","2022-11",2022,11,"11-November","TESSY","COVID-19 vaccination uptake data coming from TESSy","OLDER_60","Older people (aged 60 years or over)",NA,473206,447717,207391,0,25489,NA,NA
"ALB","Albania","EUR","CEE-CIS","Self-financing","Economy in transition","Middle income","Upper middle income","Member","Member State","2022-11",2022,11,"11-November","TESSY","COVID-19 vaccination uptake data coming from TESSy","RES_LONG_TERM","Residents of long-term care facilities (LTCFs)",3800,2585,3197,1410,0,-612,1215,NA
"AND","Andorra","EUR","Dev","Self-financing","Developed economy","High income","High income","Member","Member State","2022-11",2022,11,"11-November","TESSY","COVID-19 vaccination uptake data coming from TESSy","HW","Health  and care workers",NA,2393,1142,2062,0,1251,NA,NA
"AND","Andorra","EUR","Dev","Self-financing","Developed economy","High income","High income","Member","Member State","2022-11",2022,11,"11-November","TESSY","COVID-19 vaccination uptake data coming from TESSy","OLDER_60","Older people (aged 60 years or over)",17737,13105,12833,12307,0,272,4632,NA
"AND","Andorra","EUR","Dev","Self-financing","Developed economy","High income","High income","Member","Member State","2022-11",2022,11,"11-November","TESSY","COVID-19 vaccination uptake data coming from TESSy","RES_LONG_TERM","Residents of long-term care facilities (LTCFs)",352,353,348,367,0,5,-1,NA
"ARG","Argentina","AMR","LACRO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2021-07",2021,7,"07-July","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","CO_MORBIDITY","People with co- morbidity",7279394,4755890,828877,NA,NA,3927013,2523504,NA
"ARG","Argentina","AMR","LACRO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2021-12",2021,12,"12-December","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","CO_MORBIDITY_CHILRDEN","Children with co-morbidity",NA,909921,616881,1867,NA,293040,NA,NA
"ARG","Argentina","AMR","LACRO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-01",2022,1,"01-January","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","TEACHERS","Teachers and other essential  workers",NA,4577317,3084544,510180,NA,1492773,NA,NA
"ARG","Argentina","AMR","LACRO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-05",2022,5,"05-May","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","CO_MORBIDITY_ADULTS","Adults with co-morbidity",7270000,5335133,4859450,5785745,NA,475683,1934867,"Dosis aplicadas de refuerzo totales (sin discriminar 1ra y 2da)"
"ARG","Argentina","AMR","LACRO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-05",2022,5,"05-May","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","HW","Health  and care workers",NA,2546662,1440029,1129709,NA,1106633,NA,"Dosis aplicadas de refuerzo totales (sin discriminar 1ra y 2da). Denominador en revisión."
"ARG","Argentina","AMR","LACRO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-05",2022,5,"05-May","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","OLDER_60","Older people (aged 60 years or over)",7279394,6974227,6805753,4833092,NA,168474,305167,NA
"ARG","Argentina","AMR","LACRO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-05",2022,5,"05-May","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","PW","Pregnant Women",NA,2165,3065,7875,NA,-900,NA,"Dosis aplicadas de refuerzo totales (sin discriminar 1ra y 2da). No es obligatorio registrar que la persona está embarazada, por lo cual seguramente este numerador esté subestimado."
"ASM","American Samoa","WPR",NA,NA,"Developing","Middle income","Upper middle income","Reporting entity","Territory or Area","2022-11",2022,11,"11-November","WPR","COVID-19 vaccination data coming from WPR worksheet","HW","Health  and care workers",NA,1076,1076,NA,NA,0,NA,NA
"ASM","American Samoa","WPR",NA,NA,"Developing","Middle income","Upper middle income","Reporting entity","Territory or Area","2022-11",2022,11,"11-November","WPR","COVID-19 vaccination data coming from WPR worksheet","OLDER_60","Older people (aged 60 years or over)",NA,11080,10431,8263,NA,649,NA,NA
"AUS","Australia","WPR","Dev","Self-financing","Developed economy","High income","High income","Member","Member State","2021-07",2021,7,"07-July","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","CO_MORBIDITY","People with co- morbidity",2099000,NA,NA,NA,NA,NA,NA,"Includes Phase 1b underlying conditions cohort and Aboriginal and Torres Strait Islanders individuals aged 50 and over (included in Phase 1b)"
"AUS","Australia","WPR","Dev","Self-financing","Developed economy","High income","High income","Member","Member State","2021-07",2021,7,"07-July","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","RES_LONG_TERM","Residents of long-term care facilities (LTCFs)",190000,NA,NA,NA,NA,NA,NA,NA
"AUS","Australia","WPR","Dev","Self-financing","Developed economy","High income","High income","Member","Member State","2021-09",2021,9,"09-September","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","CO_MORBIDITY_ADULTS","Adults with co-morbidity",2099000,NA,NA,NA,NA,NA,NA,"Includes Phase 1b underlying conditions cohort and Aboriginal and Torres Strait Islanders individuals aged 50 and over (included in Phase 1b)"
"AUS","Australia","WPR","Dev","Self-financing","Developed economy","High income","High income","Member","Member State","2021-09",2021,9,"09-September","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","CO_MORBIDITY_CHILRDEN","Children with co-morbidity",190000,NA,NA,NA,NA,NA,NA,NA
"AUS","Australia","WPR","Dev","Self-financing","Developed economy","High income","High income","Member","Member State","2022-11",2022,11,"11-November","WPR","COVID-19 vaccination data coming from WPR worksheet","HW","Health  and care workers",NA,1302450,1302450,NA,NA,0,NA,NA
"AUS","Australia","WPR","Dev","Self-financing","Developed economy","High income","High income","Member","Member State","2022-11",2022,11,"11-November","WPR","COVID-19 vaccination data coming from WPR worksheet","OLDER_60","Older people (aged 60 years or over)",NA,4506909,4445794,4025059,NA,61115,NA,NA
"AUT","Austria","EUR","Dev","No","Developed economy","High income","High income","Member","Member State","2022-11",2022,11,"11-November","TESSY","COVID-19 vaccination uptake data coming from TESSy","OLDER_60","Older people (aged 60 years or over)",2259262,2152985,2119170,1934604,5138,33815,106277,NA
"AZE","Azerbaijan","EUR","CEE-CIS","Self-financing","Economy in transition","Middle income","Upper middle income","Member","Member State","2022-11",2022,11,"11-November","TESSY","COVID-19 vaccination uptake data coming from TESSy","HW","Health  and care workers",NA,68244,0,0,0,68244,NA,NA
"AZE","Azerbaijan","EUR","CEE-CIS","Self-financing","Economy in transition","Middle income","Upper middle income","Member","Member State","2022-11",2022,11,"11-November","TESSY","COVID-19 vaccination uptake data coming from TESSy","OLDER_60","Older people (aged 60 years or over)",NA,395,0,0,0,395,NA,NA
"BDI","Burundi","AFR","ESARO","AMC","Least developed","Low income","Low income","Member","Member State","2021-11",2021,11,"11-November","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","OLDER_60","Older people (aged 60 years or over)",341118,NA,NA,NA,NA,NA,NA,NA
"BDI","Burundi","AFR","ESARO","AMC","Least developed","Low income","Low income","Member","Member State","2021-11",2021,11,"11-November","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","REFUGEES","refugees or Displaced population",821209,NA,NA,NA,NA,NA,NA,NA
"BDI","Burundi","AFR","ESARO","AMC","Least developed","Low income","Low income","Member","Member State","2022-11",2022,11,"11-November","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","CO_MORBIDITY","People with co- morbidity",NA,1295,1048,NA,NA,247,NA,NA
"BDI","Burundi","AFR","ESARO","AMC","Least developed","Low income","Low income","Member","Member State","2022-11",2022,11,"11-November","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","HW","Health  and care workers",NA,1108,1087,NA,NA,21,NA,NA
"BEL","Belgium","EUR","Dev","No","Developed economy","High income","High income","Member","Member State","2022-11",2022,11,"11-November","TESSY","COVID-19 vaccination uptake data coming from TESSy","HW","Health  and care workers",596219,449574,447533,402559,0,2041,146645,NA
"BEL","Belgium","EUR","Dev","No","Developed economy","High income","High income","Member","Member State","2022-11",2022,11,"11-November","TESSY","COVID-19 vaccination uptake data coming from TESSy","OLDER_60","Older people (aged 60 years or over)",2928626,2929533,2909915,2740007,0,19618,-907,NA
"BEL","Belgium","EUR","Dev","No","Developed economy","High income","High income","Member","Member State","2022-11",2022,11,"11-November","TESSY","COVID-19 vaccination uptake data coming from TESSy","RES_LONG_TERM","Residents of long-term care facilities (LTCFs)",NA,191690,182612,0,0,9078,NA,NA
"BEN","Benin","AFR","WCARO","AMC","Least developed","Middle income","Lower middle income","Member","Member State","2022-11",2022,11,"11-November","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","CO_MORBIDITY","People with co- morbidity",NA,249658,230825,NA,NA,18833,NA,NA
"BEN","Benin","AFR","WCARO","AMC","Least developed","Middle income","Lower middle income","Member","Member State","2022-11",2022,11,"11-November","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","HW","Health  and care workers",NA,49993,42213,NA,NA,7780,NA,NA
"BEN","Benin","AFR","WCARO","AMC","Least developed","Middle income","Lower middle income","Member","Member State","2022-11",2022,11,"11-November","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","OLDER_60","Older people (aged 60 years or over)",NA,231039,179959,NA,NA,51080,NA,NA
"BFA","Burkina Faso","AFR","WCARO","AMC","Least developed","Low income","Low income","Member","Member State","2022-04",2022,4,"04-April","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","OLDER_60","Older people (aged 60 years or over)",NA,2118888,1157883,NA,NA,961005,NA,NA
"BFA","Burkina Faso","AFR","WCARO","AMC","Least developed","Low income","Low income","Member","Member State","2022-11",2022,11,"11-November","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","CO_MORBIDITY","People with co- morbidity",NA,60146,39511,NA,NA,20635,NA,NA
"BFA","Burkina Faso","AFR","WCARO","AMC","Least developed","Low income","Low income","Member","Member State","2022-11",2022,11,"11-November","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","HW","Health  and care workers",NA,40997,37779,NA,NA,3218,NA,NA
"BFA","Burkina Faso","AFR","WCARO","AMC","Least developed","Low income","Low income","Member","Member State","2022-11",2022,11,"11-November","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","REFUGEES","refugees or Displaced population",NA,64039,48346,NA,NA,15693,NA,NA
"BGD","Bangladesh","SEAR","ROSA","AMC","Least developed","Middle income","Lower middle income","Member","Member State","2022-02",2022,2,"02-February","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","OLDER_60","Older people (aged 60 years or over)",NA,NA,NA,NA,NA,NA,NA,NA
"BGD","Bangladesh","SEAR","ROSA","AMC","Least developed","Middle income","Lower middle income","Member","Member State","2022-02",2022,2,"02-February","SEAR","COVID-19 vaccination uptake data coming from SEAR data collection tool","OLDER_60","Older people (aged 60 years or over)",17806657,10034291,7732173,NA,NA,2302118,7772366,"as at 28 Feb"
"BGR","Bulgaria","EUR","CEE-CIS","No","Developed economy","Middle income","Upper middle income","Member","Member State","2022-11",2022,11,"11-November","TESSY","COVID-19 vaccination uptake data coming from TESSy","HW","Health  and care workers",243600,71611,70477,39285,0,1134,171989,NA
"BGR","Bulgaria","EUR","CEE-CIS","No","Developed economy","Middle income","Upper middle income","Member","Member State","2022-11",2022,11,"11-November","TESSY","COVID-19 vaccination uptake data coming from TESSy","OLDER_60","Older people (aged 60 years or over)",0,767237,757482,452517,0,9755,NA,NA
"BGR","Bulgaria","EUR","CEE-CIS","No","Developed economy","Middle income","Upper middle income","Member","Member State","2022-11",2022,11,"11-November","TESSY","COVID-19 vaccination uptake data coming from TESSy","RES_LONG_TERM","Residents of long-term care facilities (LTCFs)",15000,6748,6284,2711,0,464,8252,NA
"BHS","Bahamas","AMR","LACRO","Self-financing","Developing","High income","High income","Member","Member State","2022-08",2022,8,"08-August","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","OLDER_60","Older people (aged 60 years or over)",48200,NA,32146,13853,0,NA,NA,NA
"BIH","Bosnia and Herzegovina","EUR","CEE-CIS","Self-financing","Economy in transition","Middle income","Upper middle income","Member","Member State","2022-11",2022,11,"11-November","TESSY","COVID-19 vaccination uptake data coming from TESSy","HW","Health  and care workers",NA,668,909,10025,12732,-241,NA,NA
"BIH","Bosnia and Herzegovina","EUR","CEE-CIS","Self-financing","Economy in transition","Middle income","Upper middle income","Member","Member State","2022-11",2022,11,"11-November","TESSY","COVID-19 vaccination uptake data coming from TESSy","OLDER_60","Older people (aged 60 years or over)",NA,20567,36170,127269,443582,-15603,NA,NA
"BLR","Belarus","EUR","CEE-CIS","No","Economy in transition","Middle income","Upper middle income","Member","Member State","2021-12",2021,12,"12-December","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","RES_LONG_TERM","Residents of long-term care facilities (LTCFs)",21677,21051,20911,12054,0,140,626,"-2222"
"BLR","Belarus","EUR","CEE-CIS","No","Economy in transition","Middle income","Upper middle income","Member","Member State","2022-08",2022,8,"08-August","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","CO_MORBIDITY_ADULTS","Adults with co-morbidity",1339779,1209436,1193106,614434,0,16330,130343,NA
"BLR","Belarus","EUR","CEE-CIS","No","Economy in transition","Middle income","Upper middle income","Member","Member State","2022-08",2022,8,"08-August","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","HW","Health  and care workers",266479,252446,251451,191491,0,995,14033,NA
"BLR","Belarus","EUR","CEE-CIS","No","Economy in transition","Middle income","Upper middle income","Member","Member State","2022-08",2022,8,"08-August","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","PW","Pregnant Women",23490,13508,13090,382,0,418,9982,NA
"BLR","Belarus","EUR","CEE-CIS","No","Economy in transition","Middle income","Upper middle income","Member","Member State","2022-08",2022,8,"08-August","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","TEACHERS","Teachers and other essential  workers",753524,648512,642555,292031,0,5957,105012,"показана суммарно вакцинация работников учреждений образования, торговли, бытового обслуживания, транспорта, ЖКХ, энерго- и водообеспечен ия"
"BLZ","Belize","AMR","LACRO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2021-07",2021,7,"07-July","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","CO_MORBIDITY","People with co- morbidity",30000,9538,2784,NA,NA,6754,20462,NA
"BLZ","Belize","AMR","LACRO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-02",2022,2,"02-February","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","IMMUNOCOMPROMISED","Immunocompromised persons",5000,630,119,NA,NA,511,4370,"-4444"
"BLZ","Belize","AMR","LACRO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-09",2022,9,"09-September","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","CO_MORBIDITY_ADULTS","Adults with co-morbidity",30000,11397,5818,2095,NA,5579,18603,"1st & 2nd booster not separated, it is cumulative"
"BLZ","Belize","AMR","LACRO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-09",2022,9,"09-September","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","HW","Health  and care workers",5000,5016,2543,997,NA,2473,-16,"1s & 2nd booster are not separated, it is cumulative data"
"BLZ","Belize","AMR","LACRO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-09",2022,9,"09-September","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","OLDER_60","Older people (aged 60 years or over)",25000,20581,20997,11246,NA,-416,4419,NA
"BLZ","Belize","AMR","LACRO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-09",2022,9,"09-September","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","PW","Pregnant Women",7000,846,415,166,NA,431,6154,"1st & 2nd booster are not separated, cumulative data"
"BLZ","Belize","AMR","LACRO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-09",2022,9,"09-September","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","TEACHERS","Teachers and other essential  workers",8263,7157,5396,422,NA,1761,1106,"1st & 2nd booster not separated, cumulative data"
"BMU","Bermuda","AMR",NA,NA,"Developing","High income","High income","Reporting entity","Territory or Area","2022-02",2022,2,"02-February","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","OLDER_60","Older people (aged 60 years or over)",18865,15089,14884,NA,NA,205,3776,NA
"BOL","Bolivia (Plurinational State of)","AMR","LACRO","AMC","Developing","Middle income","Lower middle income","Member","Member State","2021-07",2021,7,"07-July","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","CO_MORBIDITY","People with co- morbidity",307909,239612,465604,NA,NA,-225992,68297,"La dosis única esta sumando al conteo de la dosis recomendada"
"BOL","Bolivia (Plurinational State of)","AMR","LACRO","AMC","Developing","Middle income","Lower middle income","Member","Member State","2022-08",2022,8,"08-August","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","CO_MORBIDITY_ADULTS","Adults with co-morbidity",320133,489758,469496,289188,NA,20262,-169625,"Enfermos de Base, pero que no sean personal de salud"
"BOL","Bolivia (Plurinational State of)","AMR","LACRO","AMC","Developing","Middle income","Lower middle income","Member","Member State","2022-08",2022,8,"08-August","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","HW","Health  and care workers",195397,193005,188022,125288,NA,4983,2392,"Personal de Salud, Tenga o No enfermedad de base"
"BOL","Bolivia (Plurinational State of)","AMR","LACRO","AMC","Developing","Middle income","Lower middle income","Member","Member State","2022-08",2022,8,"08-August","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","OLDER_60","Older people (aged 60 years or over)",1267190,1005741,911767,464254,NA,93974,261449,NA
"BOL","Bolivia (Plurinational State of)","AMR","LACRO","AMC","Developing","Middle income","Lower middle income","Member","Member State","2022-08",2022,8,"08-August","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","PW","Pregnant Women",276523,20535,16015,5051,NA,4520,255988,NA
"BRA","Brazil","AMR","LACRO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-03",2022,3,"03-March","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","TEACHERS","Teachers and other essential  workers",NA,3823988,3668788,2245124,NA,155200,NA,NA
"BRA","Brazil","AMR","LACRO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-04",2022,4,"04-April","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","CO_MORBIDITY_ADULTS","Adults with co-morbidity",NA,13049646,12994080,9406526,NA,55566,NA,NA
"BRA","Brazil","AMR","LACRO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-04",2022,4,"04-April","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","HW","Health  and care workers",NA,16467854,15151619,11449357,NA,1316235,NA,NA
"BRA","Brazil","AMR","LACRO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-04",2022,4,"04-April","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","PW","Pregnant Women",NA,804951,725280,355436,NA,79671,NA,NA
"BRA","Brazil","AMR","LACRO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-09",2022,9,"09-September","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","OLDER_60","Older people (aged 60 years or over)",NA,30544021,29940385,25810322,NA,603636,NA,NA
"BRB","Barbados","AMR","LACRO","Self-financing","Developing","High income","High income","Member","Member State","2022-09",2022,9,"09-September","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","OLDER_60","Older people (aged 60 years or over)",49455,53963,NA,NA,NA,53963,-4508,NA
"BRN","Brunei Darussalam","WPR","EAPRO","Self-financing","Developing","High income","High income","Member","Member State","2021-04",2021,4,"04-April","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","OTHERS","Others",61896,NA,NA,NA,NA,NA,NA,"-2222"
"BRN","Brunei Darussalam","WPR","EAPRO","Self-financing","Developing","High income","High income","Member","Member State","2022-11",2022,11,"11-November","WPR","COVID-19 vaccination data coming from WPR worksheet","HW","Health  and care workers",NA,6816,6711,NA,NA,105,NA,NA
"BRN","Brunei Darussalam","WPR","EAPRO","Self-financing","Developing","High income","High income","Member","Member State","2022-11",2022,11,"11-November","WPR","COVID-19 vaccination data coming from WPR worksheet","OLDER_60","Older people (aged 60 years or over)",NA,48838,49039,39626,NA,-201,NA,NA
"BRN","Brunei Darussalam","WPR","EAPRO","Self-financing","Developing","High income","High income","Member","Member State","2022-11",2022,11,"11-November","WPR","COVID-19 vaccination data coming from WPR worksheet","PW","Pregnant Women",NA,4529,4488,NA,NA,41,NA,NA
"BTN","Bhutan","SEAR","ROSA","AMC","Least developed","Middle income","Lower middle income","Member","Member State","2022-05",2022,5,"05-May","SEAR","COVID-19 vaccination uptake data coming from SEAR data collection tool","HW","Health  and care workers",4300,4846,4826,4663,NA,20,-546,"SEAR PG spreadsheet data as at 12-July (Proxi for July data)"
"BTN","Bhutan","SEAR","ROSA","AMC","Least developed","Middle income","Lower middle income","Member","Member State","2022-05",2022,5,"05-May","SEAR","COVID-19 vaccination uptake data coming from SEAR data collection tool","OLDER_60","Older people (aged 60 years or over)",50715,55868,54297,50999,NA,1571,-5153,"SEAR PG spreadsheet data as at 12-July (Proxi for July data)"
"BWA","Botswana","AFR","ESARO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2021-11",2021,11,"11-November","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","REFUGEES","refugees or Displaced population",0,NA,NA,NA,NA,NA,NA,NA
"BWA","Botswana","AFR","ESARO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-04",2022,4,"04-April","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","CO_MORBIDITY","People with co- morbidity",NA,421343,NA,NA,NA,421343,NA,NA
"BWA","Botswana","AFR","ESARO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-04",2022,4,"04-April","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","HW","Health  and care workers",NA,23663,19390,NA,NA,4273,NA,NA
"BWA","Botswana","AFR","ESARO","Self-financing","Developing","Middle income","Upper middle income","Member","Member State","2022-04",2022,4,"04-April","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","OLDER_60","Older people (aged 60 years or over)",NA,243381,209242,NA,NA,34139,NA,NA
"CAF","Central African Republic","AFR","WCARO","AMC","Least developed","Low income","Low income","Member","Member State","2022-01",2022,1,"01-January","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","OLDER_60","Older people (aged 60 years or over)",278533,NA,NA,NA,NA,NA,NA,NA
"CAF","Central African Republic","AFR","WCARO","AMC","Least developed","Low income","Low income","Member","Member State","2022-11",2022,11,"11-November","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","CO_MORBIDITY","People with co- morbidity",NA,284022,225072,NA,NA,58950,NA,NA
